upc,title,category,price_net,price_gross,tax,rating,number_of_reviews,availability
a897fe39b1053632,A Light in the Attic,Poetry,£51.77,£57.98,£6.21,3,4,22.0
,Tppng the Velvte,,£53.74,£57.5,£3.76,1,38,20.0
,Soimission,,£50.10,£52.6,£2.51,1,38,
e00eb4fd7b871a48,Sharp Objects,,,£49.73,£1.91,4,49,20.0
,Sapens: A Brlef Hstory of uumankib,,,£60.2,£5.97,5,21,20.0
f77dbf2323deb740,The Requiem Red,Young Adult,£22.65,£22.88,£0.23,1,48,19.0
2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34,£37.67,£4.33,4,31,19.0
,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,£17.93,£19.72,£1.79,3,10,
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,£22.60,£24.86,£2.26,4,29,19.0
1dfe412b8ac00530,The Black Maria,Poetry,£52.15,£58.93,£6.78,1,8,19.0
0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)",Default,,£14.13,£0.14,2,34,19.0
30a7f60cd76ca58c,Shakespeare's Sonnets,Poetry,£20.66,£22.52,£1.86,4,16,19.0
ce6396b0f23f6ecc,Set Me Free,Young Adult,£17.46,£19.21,£1.75,5,49,
,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,£58.04,£5.75,5,30,19.0
,,,,£35.72,£0.7,5,36,19.0
deda3e61b9514b83,,Music,,£61.83,£4.58,3,2,19.0
feb7cc7701ecf901,,,,£26.27,£2.39,1,6,19.0
e30f54cea9b38190,,Science Fiction,£37.59,£39.47,£1.88,1,20,19.0
a18a4f574854aced,Libertarianism for Beginners,Politics,£51.33,£51.33,£0.0,2,15,19.0
a22124811bfa8350,,Travel,£45.17,£47.88,£2.71,2,27,19.0
,In Her Wake,Thriller,£12.84,£14.12,£1.28,1,12,19.0
327f68a59745c102,How Music Works,Music,£37.32,£38.07,£0.75,2,46,19.0
5674a18a29a43ced,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,,£34.49,£3.97,3,32,19.0
c2e46a2ee3b4a322,Chase Me (Paris Nights #2),Romance,£25.27,£28.56,£3.29,5,10,19.0
,Blak Dudt,,,£36.26,£1.73,5,37,19.0
9528d0948525bf5f,Birdsong: A Story in Pictures,Childrens,,£60.65,£6.01,3,25,19.0
c7d160c2c0de586f,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,£22.50,£23.18,£0.68,3,14,19.0
,,,£53.13,£58.97,£5.84,3,6,19.0
,qWorlds Eosewhree:J iurneys Arkound hSakeepdeare’s Glboe,,£40.30,£40.7,£0.4,5,44,
,Waoll an dPiece,,,£47.27,£3.09,4,18,18.0
6258a1f6a6dcfe50,The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,£17.66,£18.37,£0.71,5,29,18.0
3c039985229453bf,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,£31.05,£31.36,£0.31,3,15,18.0
,hTe Eephant Tree,,,£25.01,£1.19,5,12,18.0
,The Bear and the Piano,Childrens,,£40.21,£3.32,1,38,
6be3beb0793a53e7,,Philosophy,,£16.74,£0.8,5,14,18.0
668fe56b17cfcd4f,Penny Maybe,Default,£33.29,£36.62,£3.33,3,18,18.0
094b269567e1c300,Maude (1883-1993):She Grew Up with the country,Default,£18.02,£19.46,£1.44,2,11,18.0
19ed25f4641d5efd,"In a Dark, Dark Wood",Mystery,£19.63,£20.81,£1.18,1,26,18.0
be5cc846f45496fb,Behind Closed Doors,,£52.22,£52.22,£0.0,4,29,18.0
55f9da0c5eea2e10,,Poetry,£33.63,£33.63,£0.0,2,35,17.0
b4fd5943413e089a,Slow States of Collapse: Poems,Poetry,,£57.88,£0.57,3,43,17.0
c8f7f0cb1abb9cac,,Nonfiction,£26.41,£27.73,£1.32,2,27,17.0
b12b89017878a60d,Private Paris (Private #10),Fiction,,£49.51,£1.9,5,43,
,#HighetSelfie: WaeUp YourL if.eFdree Ykur Soul. Fodn Your Tribe.,,£23.11,£25.65,£2.54,5,8,17.0
,Wkithou tBorfders (Wandwrlpov #1),,£45.07,£45.07,£0.0,2,7,
3ecb690d1542c568,When We Collided,Contemporary,,£32.41,£0.64,1,44,16.0
8d455c7539795d2a,"We Love You, Charlie Freeman",Fiction,£50.27,£56.3,£6.03,5,0,16.0
,Utitled Collection:Sabbzth Pmes 2014,,£14.27,£15.27,£1.0,4,36,
d170b5a0da46380e,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,£44.18,£48.6,£4.42,4,31,16.0
7ae099f3898e0209,Unicorn Tracks,Fantasy,,£19.53,£0.75,3,46,16.0
9a9d6e9bc555731e,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,£25.52,£26.54,£1.02,1,27,16.0
,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,£16.28,£18.72,£2.44,1,21,16.0
7858914fad68493c,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,£31.12,£34.23,£3.11,3,34,16.0
51653ef291ab7ddc,This One Summer,,£19.49,£21.63,£2.14,4,41,16.0
709822d0b5bcb7f4,Thirst,Fiction,£17.27,£19.69,£2.42,5,21,16.0
4eed62cf5f8d8edf,The Torch Is Passed: A Harding Family Story,Add a comment,£19.09,£20.62,£1.53,1,15,16.0
b5ea0b5dabed25a8,The Secret of Dreadwillow Carse,,£56.13,£57.25,£1.12,1,35,16.0
142d767a56a9254d,,Food and Drink,£56.41,£60.92,£4.51,1,37,16.0
5ee94540d0749ea0,The Past Never Ends,,,£58.76,£2.26,4,41,16.0
cedf82b5086e4691,The Natural History of Us (The Fine Art of Pretending #2),Young Adult,£45.22,£51.1,£5.88,3,42,16.0
7d385d34d12e60ff,,Sequential Art,£38.16,£43.88,£5.72,4,41,16.0
d01ac97e2b8947c2,,Fiction,,£59.52,£5.41,3,42,
aadee1c326d286e3,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,,£47.26,£4.3,4,7,16.0
31075275518532d7,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,£23.89,£25.56,£1.67,4,33,16.0
0da9aa9d24677fc0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,£16.77,£17.11,£0.34,3,39,
8c9e6bf2467d740d,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",,£20.59,£23.27,£2.68,5,13,16.0
acd86a5426e21ca0,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,£37.13,£41.21,£4.08,1,26,16.0
a30b270e25489e5c,The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,£56.06,£63.35,£7.29,1,36,16.0
bd261725b99f5983,The Death of Humanity: and the Case for Life,,£58.11,£65.08,£6.97,4,25,16.0
43c6a960757cf559,,Health,£49.05,£53.96,£4.91,3,7,16.0
80cfab6bcff3a244,The Art Forger,Add a comment,£40.76,£44.02,£3.26,3,14,
a3d2a4250807f1e9,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,£19.73,£19.93,£0.2,1,31,
7d6d2a6c0276f81b,,Spirituality,£32.24,£36.43,£4.19,5,12,16.0
87b0615b6e1f4d7b,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,£41.83,£44.34,£2.51,4,29,16.0
e6af5bf1163c1151,Soul Reader,Default,£39.58,£45.12,£5.54,2,0,
6f78a0d744c35456,Security,Horror,,£43.18,£3.93,2,41,16.0
c849f0b2f5d6a742,"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,£25.02,£25.52,£0.5,3,24,16.0
,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,£51.04,£54.61,£3.57,2,28,16.0
,,,£19.83,£22.41,£2.58,2,40,16.0
c82a3e358c773c73,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,£50.40,£51.41,£1.01,3,40,16.0
0fa6dceead7ce47a,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,£13.61,£14.7,£1.09,5,18,16.0
0e691eda369f4e09,Princess Between Worlds (Wide-Awake Princess #5),Fantasy,£13.34,£14.01,£0.67,5,4,16.0
,"Plop Gun aW,r Volume 1: Glf",,£18.97,£21.63,£2.66,1,11,
7392c0032f92d816,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,£36.28,£37.01,£0.73,2,23,
9429b4d59c537af5,Patience,Sequential Art,£10.16,£11.48,£1.32,3,47,
889139b8e9c4cb36,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,,£16.37,£0.93,4,15,
,orange: The Complete Collection 1 (orange: The Complete Collection #1),,£48.41,£51.8,£3.39,1,24,16.0
,,,£46.35,£48.67,£2.32,1,32,16.0
b757c0c361e689ce,,Add a comment,,£15.2,£1.13,3,2,16.0
