Transaction ID,Item,Quantity,Payment Method,Location,Transaction Date
2790047749380,Cake,2,Digital Wallet,Takeaway,2015-11-30
0949820286952,Coffee,1,Digital Wallet,In-store,2015-02-06
4491132779791,Juice,2,Credit Card,In-store,2015-02-10
6018342645845,Water,2,Digital Wallet,In-store,2015-06-02
0096915076575,Tea,2,Digital Wallet,Takeaway,2015-09-26
3813826848858,Salad,3,Cash,Takeaway,2015-03-13
3980005419335,Salad,3,Digital Wallet,Takeaway,2015-08-02
7325389235793,Cookie,1,Digital Wallet,Takeaway,2015-01-08
1348153378973,Soda,2,Cash,In-store,2015-01-23
6149830979705,Yogurt,3,Cash,Takeaway,2015-08-02
6247862153923,Salad,3,Cash,Takeaway,2015-03-27
6918740189180,Salad,2,Digital Wallet,In-store,2015-03-26
2387710249171,Juice,3,Cash,In-store,2015-03-14
1046182560542,Juice,3,Cash,In-store,2015-08-12
1688274061645,Milk,2,Cash,In-store,2015-07-19
3553733762891,Salad,1,Cash,In-store,2015-08-09
3198422737455,Smoothie,1,Digital Wallet,In-store,2015-07-04
6837945531023,Sandwich,1,Digital Wallet,In-store,2015-11-08
9472921161336,Cookie,2,Digital Wallet,In-store,2015-11-08
9092840699095,Water,3,Credit Card,Takeaway,2015-03-27
9365629003780,Salad,1,Credit Card,Takeaway,2015-03-09
4885231837191,Water,3,Cash,In-store,2015-07-16
5612050861507,Cookie,3,Credit Card,Takeaway,2015-10-01
9843688566601,Soda,3,Cash,In-store,2015-02-02
2676702883364,Cake,2,Digital Wallet,Takeaway,2015-10-21
7538952855667,Yogurt,2,Digital Wallet,In-store,2015-07-30
9157043194652,Soda,1,Digital Wallet,In-store,2015-04-02
9781983984136,Yogurt,2,Cash,Takeaway,2015-10-29
2755208840757,Yogurt,3,Credit Card,In-store,2015-12-06
9309660201439,Milk,2,Digital Wallet,In-store,2015-03-04
8012719443377,Ice Cream,1,Digital Wallet,In-store,2015-07-07
6351195872663,Tea,1,Cash,Takeaway,2015-09-04
9407586453090,Ice Cream,2,Credit Card,Takeaway,2015-09-01
2069053049440,Ice Cream,2,Digital Wallet,In-store,2015-05-09
0375770746367,Smoothie,2,Credit Card,Takeaway,2015-10-05
3457666428148,Ice Cream,1,Digital Wallet,Takeaway,2015-09-28
5289212619742,Milk,2,Cash,Takeaway,2015-10-17
